   x      v
0.0097500975 0.0832380158
0.0097600976 0.0833187218
0.0097700977 0.0833994187
0.0097800978 0.0834801065
0.0097900979 0.0835607853
0.0098000980 0.0836414550
0.0098100981 0.0837221156
0.0098200982 0.0838027672
0.0098300983 0.0838834097
0.0098400984 0.0839640431
0.0098500985 0.0840446675
0.0098600986 0.0841252828
0.0098700987 0.0842058891
0.0098800988 0.0842864862
0.0098900989 0.0843670744
0.0099000990 0.0844476534
0.0099100991 0.0845282235
0.0099200992 0.0846087844
0.0099300993 0.0846893363
0.0099400994 0.0847698792
0.0099500995 0.0848504129
0.0099600996 0.0849309377
